seed,step,action,did_reuse,cumulative_reuse,mse,improvement,nodes,repo_size,improvement_count,deletion_count,reward,reference_mse,epsilon_threshold
8,11,0,False,0,0.00023928264272399247,0.09148823490249924,4,1,1,0,0.010503434937466713,0.03168976679444313,0.03200666446238756
8,12,1,False,0,0.7671135067939758,0.0,3,1,1,0,-0.2451412466665109,0.03168976679444313,0.03200666446238756
8,13,0,False,0,0.002230705227702856,0.764882801566273,4,1,1,0,0.010005579291221997,0.03168976679444313,0.03200666446238756
8,14,1,False,0,0.28526875376701355,0.0,3,1,1,0,-0.08452632899085681,0.03168976679444313,0.03200666446238756
9,0,1,False,0,0.06786181032657623,inf,3,1,1,0,-0.012457373241583506,0.030489690601825714,0.03079458750784397
9,1,1,False,0,0.1961468756198883,0.0,3,1,1,0,-0.055219061672687524,0.030489690601825714,0.03079458750784397
9,2,0,False,0,0.4728887677192688,0.0,4,1,1,0,-0.10805896172920863,0.030489690601825714,0.03079458750784397
9,3,0,False,0,0.09284575283527374,0.38004301488399506,4,1,1,0,-0.013048208008209864,0.030489690601825714,0.03079458750784397
9,4,0,False,0,0.2675543427467346,0.0,4,1,1,0,-0.05672535548607508,0.030489690601825714,0.03079458750784397
9,5,1,False,0,0.1086369976401329,0.15891734510660172,3,1,1,0,-0.026049102346102394,0.030489690601825714,0.03079458750784397
9,6,0,False,0,0.035041049122810364,0.07359594851732254,4,1,1,0,0.001402967919905981,0.030489690601825714,0.03079458750784397
9,7,0,False,0,0.033817972987890244,0.0012230761349201202,4,1,1,0,0.001708736953636011,0.030489690601825714,0.03079458750784397
9,8,0,False,0,0.36759740114212036,0.0,4,1,1,0,-0.08173612008492152,0.030489690601825714,0.03079458750784397
9,9,0,False,0,0.16330187022686005,0.20429553091526031,4,1,1,0,-0.030662237356106438,0.030489690601825714,0.03079458750784397
9,10,0,False,0,0.07115931808948517,0.09214255213737488,4,1,1,0,-0.00762659932176272,0.030489690601825714,0.03079458750784397
9,11,1,False,0,0.505154013633728,0.0,3,1,1,0,-0.1582214410106341,0.030489690601825714,0.03079458750784397
9,12,0,False,0,0.22811028361320496,0.27704373002052307,4,1,1,0,-0.046864340702692665,0.030489690601825714,0.03079458750784397
9,13,1,False,0,0.10167376697063446,0.1264365166425705,3,1,1,0,-0.023728025456269577,0.030489690601825714,0.03079458750784397
9,14,1,False,0,0.014889481477439404,0.08678428549319506,3,1,1,0,0.005200069708128771,0.030489690601825714,0.03079458750784397
