seed,step,action,did_reuse,cumulative_reuse,mse,improvement,nodes,repo_size,improvement_count,deletion_count,reward
4,3,0,False,0,0.4973176121711731,0.0,4,1,1,0,-0.11461843488117059
4,4,1,False,0,0.11439909040927887,0.3829185217618942,3,1,1,0,-0.02842206197480361
4,5,0,False,0,0.002650422975420952,0.11174866743385792,4,1,1,0,0.009048362417767445
4,6,0,False,0,0.029773425310850143,0.0,4,1,1,0,0.0022676118339101468
4,7,1,False,0,0.10499496757984161,0.0,3,1,1,0,-0.025287354364991188
4,8,1,False,0,0.05699428170919418,0.04800068587064743,3,1,1,0,-0.009287125741442045
4,9,0,False,0,0.10329723358154297,0.0,4,1,1,0,-0.01611334023376306
4,10,1,False,0,0.7531841397285461,0.0,3,1,1,0,-0.2413504117478927
4,11,0,False,0,0.11260215938091278,0.6405819803476334,4,1,1,0,-0.018439571683605514
4,12,1,False,0,0.2792596220970154,0.0,3,1,1,0,-0.08337557253738244
